X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,ST_SUBTYPE
-9196448.0467426,3457138.06529227,26425,1222334005,ALACHUA COUNTY SCHOOLS - NEWBERRY ELEMENTARY,25705 SW 15TH AVE,NEWBERRY,FL,32669,NOT AVAILABLE,(352) 472-1100,HEAD START,OPEN,507,ALACHUA,12001,USA,29.6382779,-82.6130984,624410,"HEAD START PROGRAMS, SEPARATE FROM SCHOOLS",https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9162242.86227875,3463086.80607807,26426,1222334006,ALACHUA COUNTY SCHOOLS - RAWLINGS ELEMENTARY,3500 ME 15 STREET,GAINESVILLE,FL,32609,NOT AVAILABLE,(352) 955-6715,HEAD START,OPEN,595,ALACHUA,12001,USA,29.684714,-82.305828,624410,"HEAD START PROGRAMS, SEPARATE FROM SCHOOLS",https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,GEOCODE,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9138362.71643327,3451509.83570097,26427,1222334007,ALACHUA COUNTY SCHOOLS - SHELL ELEMENTARY,21633 SE 65TH AVE,HAWTHORNE,FL,32640,NOT AVAILABLE,(352) 481-1901,HEAD START,OPEN,406,ALACHUA,12001,USA,29.594324,-82.091309,624410,"HEAD START PROGRAMS, SEPARATE FROM SCHOOLS",https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,UNVERIFIED,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9173531.43788163,3459299.8943403,26428,1222334008,ALACHUA COUNTY SCHOOLS - TERWILLIGER ELEMENTARY,301 NW 62ND ST,GAINESVILLE,FL,32607,NOT AVAILABLE,(352) 955-6717,HEAD START,OPEN,135,ALACHUA,12001,USA,29.6551557,-82.407235,624410,"HEAD START PROGRAMS, SEPARATE FROM SCHOOLS",https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9161654.20481144,3458398.66762961,26429,1222283446,ANGEL'S CHRISTIAN ACADEMY LLC,1907 SE HAWTHORNE RD,GAINESVILLE,FL,32641,NOT AVAILABLE,(352) 374-8521,RELIGIOUS FACILITY,OPEN,85,ALACHUA,12001,USA,29.64812,-82.30054,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/05/31 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9161746.58885685,3458471.12773512,26430,1222334009,ANGEL'S CHRISTIAN ACADEMY LLC,1805 SE HAWTHORNE RD,GAINESVILLE,FL,32641,NOT AVAILABLE,(352) 505-0276,RELIGIOUS FACILITY,OPEN,93,ALACHUA,12001,USA,29.6486857,-82.3013699,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9166197.63190453,3457719.60929364,26431,1222334010,BABY GATOR CHILD DEVELOPMENT AND RESEARCH CENTER AT THE UNIVERSITY OF FLORIDA,305 DIAMOND VLG APT 17,GAINESVILLE,FL,32603,NOT AVAILABLE,(352) 294-2243,CENTER BASED,OPEN,88,ALACHUA,12001,USA,29.6428184,-82.3413543,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,GEOCODE,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9168364.20975798,3458009.92361835,26432,1222285830,BABY GATOR CHILD DEVELOPMENT AND RESEARCH CENTER AT THE UNIVERSITY OF FLORIDA,793 CORRY CIR,GAINESVILLE,FL,32612,NOT AVAILABLE,(352) 392-2330,CENTER BASED,OPEN,189,ALACHUA,12001,USA,29.645085,-82.360817,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/02/04 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9166359.67968727,3457444.44048556,26433,1222286969,BABY GATOR CHILD DEVELOPMENT AND RESEARCH CENTER AT THE UNIVERSITY OF FLORIDA,1244 NEWELL DR,GAINESVILLE,FL,32610,NOT AVAILABLE,(352) 273-8000,CENTER BASED,OPEN,125,ALACHUA,12001,USA,29.64067,-82.34281,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/02/04 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9180084.37102667,3479947.28974138,26434,1222294300,BHAKTIVEDANTA ACADEMY,17414 NW 112TH BLVD,ALACHUA,FL,32615,NOT AVAILABLE,(386) 462-2886,CENTER BASED,OPEN,34,ALACHUA,12001,USA,29.816211,-82.466101,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/02/07 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9160509.51761956,3440031.05424895,26435,1222334011,BLUE WAVE AFTER SCHOOL AT MICANOPY,802 NW SEMINARY AVE,MICANOPY,FL,32667,NOT AVAILABLE,(352) 692-3007,CENTER BASED,OPEN,94,ALACHUA,12001,USA,29.5046206,-82.2902571,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9165557.90105483,3457500.82117902,26436,1222334012,BLUE WAVE AFTER SCHOOL PROGRAM,1080 SW 11TH ST,GAINESVILLE,FL,32601,NOT AVAILABLE,(352) 692-3007,SCHOOL BASED,OPEN,228,ALACHUA,12001,USA,29.6411102,-82.3356075,624410,"CHILD DAY CARE, BEFORE OR AFTER SCHOOL, SEPARATE FROM SCHOOLS",https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,GEOCODE,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9170622.10298974,3461428.32658334,26437,1222283473,B'NAI ISRAEL COMMUNITY DAY SCHOOL,3830 NW 16TH BLVD,GAINESVILLE,FL,32605,NOT AVAILABLE,(352) 376-1508,CENTER BASED,OPEN,142,ALACHUA,12001,USA,29.67177,-82.3811,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/05/31 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9193838.33939213,3480991.33960584,26438,1222334013,"BUILDING DREAMS EARLY LEARNING CENTER, L.L.C","18467 NW US HIGHWAY 441, STE 10",HIGH SPRINGS,FL,32643,NOT AVAILABLE,(386) 454-0771,HEAD START,OPEN,60,ALACHUA,12001,USA,29.824348,-82.589655,624410,"HEAD START PROGRAMS, SEPARATE FROM SCHOOLS",https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,GEOCODE,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9163305.56266566,3456552.07784718,26439,1222334014,"CARING AND SHARING LEARNING SCHOOL, INC.",1951 SE 4TH ST,GAINESVILLE,FL,32641,NOT AVAILABLE,(352) 372-1004,CENTER BASED,OPEN,55,ALACHUA,12001,USA,29.6337025,-82.3153744,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,GEOCODE,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9179136.04028459,3463639.85088919,26440,1222334015,COUNTRYSIDE CHRISTIAN SCHOOL,10926 NW 39TH AVE,GAINESVILLE,FL,32606,NOT AVAILABLE,(352) 332-1493,RELIGIOUS FACILITY,OPEN,34,ALACHUA,12001,USA,29.68903,-82.457582,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,GEOCODE,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9162929.92617593,3458380.73519332,26441,1222283502,CUDDLY KIDS ACADEMY,1023 SE 4TH AVE,GAINESVILLE,FL,32601,NOT AVAILABLE,(352) 336-3200,RELIGIOUS FACILITY,OPEN,118,ALACHUA,12001,USA,29.64798,-82.312,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/05/31 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9195230.61226349,3482850.23333625,26442,1222334016,DEEPER PURPOSE KIDS ACADEMY,19930 N US HIGHWAY 441,HIGH SPRINGS,FL,32643,NOT AVAILABLE,(352) 474-9040,RELIGIOUS FACILITY,OPEN,91,ALACHUA,12001,USA,29.838834,-82.602162,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9177256.37906781,3474772.8412269,26443,1222334017,EDUCATION STATION AND PRESCHOOL TECH CITY,13851 TECH CITY CIR,ALACHUA,FL,32615,NOT AVAILABLE,(386) 588-3221,CENTER BASED,OPEN,123,ALACHUA,12001,USA,29.77587318,-82.44069672,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,UNVERIFIED,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9171144.19140157,3461869.06359039,26444,1222294301,EDUCATION STATION AND PRESCHOOL,2411 NW 41ST ST,GAINESVILLE,FL,32606,NOT AVAILABLE,(352) 335-0026,CENTER BASED,OPEN,78,ALACHUA,12001,USA,29.67521,-82.38579,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/02/07 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9164602.44586535,3461647.34792945,26445,1222334018,ELEVATIONS LEARNING ACADEMY,207 NW 23RD AVE,GAINESVILLE,FL,32609,NOT AVAILABLE,(352) 451-4533,CENTER BASED,OPEN,159,ALACHUA,12001,USA,29.6734795,-82.3270245,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9162535.29858107,3459472.22556217,26446,1222283492,EPISCOPAL CHILDREN'S SERVICES GAINESVILLE EARLY HEAD START,530A NE WALDO RD,GAINESVILLE,FL,32641,NOT AVAILABLE,(352) 225-5021,HEAD START,OPEN,118,ALACHUA,12001,USA,29.656501,-82.308455,624410,"HEAD START PROGRAMS, SEPARATE FROM SCHOOLS",https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/05/31 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9169707.94733135,3465365.12916269,26447,1222334019,EPISCOPAL CHILDREN'S SERVICES INC. NORTHWOOD HEAD START,"5201 NW 34TH BLVD, STE A",GAINESVILLE,FL,32605,NOT AVAILABLE,(352) 672-6917,HEAD START,OPEN,34,ALACHUA,12001,USA,29.702493,-82.372888,624410,"HEAD START PROGRAMS, SEPARATE FROM SCHOOLS",https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9162239.96797199,3463255.56167339,26448,1222286993,FEARNSIDE FAMILY SERVICES CENTER HEAD START,3600 NE 15TH ST,GAINESVILLE,FL,32609,NOT AVAILABLE,(352) 955-6875,HEAD START,OPEN,64,ALACHUA,12001,USA,29.686031,-82.305802,624410,"HEAD START PROGRAMS, SEPARATE FROM SCHOOLS",https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/02/04 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9195415.17997923,3482815.07020562,26449,1222294302,FIRST CHRISTIAN ACADEMY,24530 NW 199TH LN,HIGH SPRINGS,FL,32643,NOT AVAILABLE,(386) 454-1641,RELIGIOUS FACILITY,OPEN,159,ALACHUA,12001,USA,29.83856,-82.60382,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/02/07 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9164768.92416384,3458724.01759069,26450,1222291088,"FIRST PRESBYTERIAN CHURCH OF GAINESVILLE, INC",106 SW 3RD ST,GAINESVILLE,FL,32601,NOT AVAILABLE,(352) 376-1818,CENTER BASED,OPEN,75,ALACHUA,12001,USA,29.65066,-82.32852,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/05/31 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9164220.11907422,3459368.3372161,26451,1222283506,FIRST UNITED METHODIST PRESCHOOL,419 NE 1ST ST,GAINESVILLE,FL,32601,NOT AVAILABLE,(352) 373-0108,RELIGIOUS FACILITY,OPEN,115,ALACHUA,12001,USA,29.65569,-82.32359,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/05/31 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9169186.08155851,3462623.73260644,26452,1222283507,FLOWERS MONTESSORI SCHOOL INC,3111 NW 31ST AVE,GAINESVILLE,FL,32605,NOT AVAILABLE,(352) 376-4700,CENTER BASED,OPEN,45,ALACHUA,12001,USA,29.6811,-82.3682,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/05/31 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9175289.72923871,3456262.3214128,26453,1222283535,GAINESVILLE COUNTRY DAY SCHOOL,2304 SW 75TH ST,GAINESVILLE,FL,32607,NOT AVAILABLE,(352) 332-9032,CENTER BASED,OPEN,75,ALACHUA,12001,USA,29.63144,-82.42303,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/05/31 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9174469.52723054,3456410.88080479,26454,1222334020,GAINESVILLE COUNTRY DAY SCHOOL 2,6801 SW 24TH AVE,GAINESVILLE,FL,32607,NOT AVAILABLE,(352) 332-7783,RELIGIOUS FACILITY,OPEN,200,ALACHUA,12001,USA,29.6326,-82.415662,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9170037.475288,3459956.64325116,26455,1222334021,GAINESVILLE'S AFTER SCHOOL PROGRAM,3536 NW 8TH AVE,GAINESVILLE,FL,32605,NOT AVAILABLE,(352) 377-5744,CENTER BASED,OPEN,64,ALACHUA,12001,USA,29.6602825,-82.3758482,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9167314.02168184,3463572.83330477,26456,1222283918,"GIRLS PLACE, INC",2101 NW 39TH AVE,GAINESVILLE,FL,32605,NOT AVAILABLE,(352) 373-4475,CENTER BASED,OPEN,195,ALACHUA,12001,USA,29.688507,-82.351383,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/05/31 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9165069.48678898,3460425.19361426,26457,1222283546,GRANNY D'S LEARNING CENTER,1300 NW 6TH ST,GAINESVILLE,FL,32601,NOT AVAILABLE,(352) 872-5852,CENTER BASED,OPEN,44,ALACHUA,12001,USA,29.66394,-82.33122,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/05/31 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9192083.38761978,3459145.44765879,26458,1222283420,"GREENFIELD PRESCHOOL EAST, LLC",21805 W,NEWBERRY,FL,32669,NOT AVAILABLE,(352) 472-7977,CENTER BASED,OPEN,58,ALACHUA,12001,USA,29.65395,-82.57389,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/05/31 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9195437.45500933,3461069.08582685,26459,1222334022,GREENFIELD PRESCHOOL LLC 2,24880 NW 16TH AVE,NEWBERRY,FL,32669,NOT AVAILABLE,(352) 256-3931,CENTER BASED,OPEN,90,ALACHUA,12001,USA,29.668966,-82.6040201,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9195766.73806309,3457700.75561132,26460,1222334023,"GREENFIELD PRESCHOOL WEST, LLC",420 SW 250TH ST,NEWBERRY,FL,32669,NOT AVAILABLE,(352) 474-6141,CENTER BASED,OPEN,101,ALACHUA,12001,USA,29.6426712,-82.6069781,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,GEOCODE,2022/06/02 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9165051.67567045,3461273.30348772,26461,1222294313,HAND N HAND CHRISTIAN CHILD CARE CENTER INC,1936 NW 6TH ST,GAINESVILLE,FL,32609,NOT AVAILABLE,(352) 335-9622,RELIGIOUS FACILITY,OPEN,37,ALACHUA,12001,USA,29.67056,-82.33106,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/02/07 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9163918.44325418,3463495.05233911,26462,1222300320,HEAVENLY KIDS ACADEMY,309 NE 39TH AVE,GAINESVILLE,FL,32609,NOT AVAILABLE,(352) 318-2875,RELIGIOUS FACILITY,OPEN,111,ALACHUA,12001,USA,29.6879,-82.32088,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/02/14 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9164335.89134465,3459186.43855254,26463,1222283564,HOLY TRINITY EPISCOPAL SCHOOL,301 N MAIN ST,GAINESVILLE,FL,32601,NOT AVAILABLE,(352) 377-2290,RELIGIOUS FACILITY,OPEN,161,ALACHUA,12001,USA,29.65427,-82.32463,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/05/31 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9172159.4251576,3461775.53383732,26464,1222283584,IMAGINE LEARNING CENTER,4840 NW 23RD AVE,GAINESVILLE,FL,32606,NOT AVAILABLE,(352) 371-5450,CENTER BASED,OPEN,40,ALACHUA,12001,USA,29.67448,-82.39491,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/05/31 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
-9177758.7955445,3460034.46690965,26465,1222294333,IN HIS ARMS CHILDHOOD DEVELOPMENT CENTER,9700 W NEWBERRY RD,GAINESVILLE,FL,32606,NOT AVAILABLE,(352) 331-7770,CENTER BASED,OPEN,170,ALACHUA,12001,USA,29.66089,-82.44521,624410,CHILD DAY CARE CENTERS,https://www.myflfamilies.com/service-programs/child-care/docs/child%20care%20providers.xlsx,2022/05/02 00:00:00+00,IMAGERY/OTHER,2019/02/07 00:00:00+00,NOT AVAILABLE,CHILD CARE FACILITY
